id,app_id,platforms,categories,genres,CompositeRating,header_image
1137,311690,"windows,mac","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing","Action,Adventure,Indie",0.423972,https://cdn.akamai.steamstatic.com/steam/apps/311690/header.jpg?t=1713472631
723,237930,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV,Family Sharing","Action,Indie,RPG",0.423752,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/237930/header.jpg?t=1601337924
151,10090,,,,0.423231,
862,257850,"windows,mac","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing","Action,Adventure,Indie,RPG",0.422257,https://cdn.akamai.steamstatic.com/steam/apps/257850/header.jpg?t=1649868127
856,256410,"windows,mac","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards","Free to Play,Strategy",0.422095,https://cdn.akamai.steamstatic.com/steam/apps/256410/header.jpg?t=1477937103
429,92800,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Indie,Simulation",0.421657,https://cdn.akamai.steamstatic.com/steam/apps/92800/header.jpg?t=1667072182
711,235460,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Action,0.421636,https://cdn.akamai.steamstatic.com/steam/apps/235460/header.jpg?t=1690416005
497,201790,"windows,mac","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Adventure,Indie,RPG,Strategy",0.421617,https://cdn.akamai.steamstatic.com/steam/apps/201790/header.jpg?t=1631205565
656,226980,,,,0.421147,
612,219640,"windows,mac","Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,Includes level editor,Remote Play on TV,Family Sharing","Action,Indie",0.421104,https://cdn.akamai.steamstatic.com/steam/apps/219640/header.jpg?t=1710276094
616,219990,"windows,mac","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure,Indie,RPG",0.420979,https://cdn.akamai.steamstatic.com/steam/apps/219990/header.jpg?t=1709073331
1162,316790,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available,Remote Play on TV,Remote Play Together,Family Sharing",Adventure,0.420892,https://cdn.akamai.steamstatic.com/steam/apps/316790/header.jpg?t=1677883403
1306,360740,"windows,mac","Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Action,Adventure,Indie",0.420868,https://cdn.akamai.steamstatic.com/steam/apps/360740/header.jpg?t=1584036317
469,110800,,,,0.420717,
998,283640,"windows,mac","Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Remote Play Together,Family Sharing","Action,Indie,RPG",0.42063,https://cdn.akamai.steamstatic.com/steam/apps/283640/header.jpg?t=1699197761
1114,306660,"windows,mac","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Stats,Steam Leaderboards,Family Sharing","Indie,Simulation,Strategy",0.420546,https://cdn.akamai.steamstatic.com/steam/apps/306660/header.jpg?t=1714903630
1359,377840,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",RPG,0.420477,https://cdn.akamai.steamstatic.com/steam/apps/377840/header.jpg?t=1596707344
46,1520,"windows,mac","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Family Sharing","Indie,Strategy",0.42032,https://cdn.akamai.steamstatic.com/steam/apps/1520/header.jpg?t=1686072081
1351,376300,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together,Family Sharing",Action,0.420264,https://cdn.akamai.steamstatic.com/steam/apps/376300/header.jpg?t=1671009243
359,47920,"windows,mac","Single-player,Multi-player,Partial Controller Support,Family Sharing",Racing,0.419911,https://cdn.akamai.steamstatic.com/steam/apps/47920/header.jpg?t=1622575073
